Satellite: METEOR-M2 3
Start date & time: 2024-06-04   08:18:52 UTC
08:24:39 275.401158  39.534991
08:24:40 274.970958  39.430326
08:24:41 274.543546  39.324160
08:24:42 274.118942  39.216525
08:24:43 273.697166  39.107456
08:24:44 273.278234  38.996985
08:24:45 272.862163  38.885145
08:24:46 272.448967  38.771970
08:24:47 272.038660  38.657492
08:24:48 271.631254  38.541745
08:24:49 271.226758  38.424761
08:24:50 270.825183  38.306573
08:24:51 270.426536  38.187214
08:24:52 270.030823  38.066715
08:24:53 269.638051  37.945110
08:24:54 269.248223  37.822429
08:24:55 268.861342  37.698705
08:24:56 268.477411  37.573968
08:24:57 268.096430  37.448251
08:24:58 267.718399  37.321584
08:24:59 267.343316  37.193997
08:25:00 266.971180  37.065521
08:25:01 266.601987  36.936186
08:25:02 266.235734  36.806022
08:25:03 265.872414  36.675057
08:25:04 265.512022  36.543321
08:25:05 265.154552  36.410842
08:25:06 264.799996  36.277650
08:25:07 264.448344  36.143770
08:25:08 264.099590  36.009232
08:25:09 263.753722  35.874063
08:25:10 263.410729  35.738288
08:25:11 263.070602  35.601934
08:25:12 262.733328  35.465029
08:25:13 262.398895  35.327596
08:25:14 262.067289  35.189661
08:25:15 261.738498  35.051249
08:25:16 261.412507  34.912384
08:25:17 261.089302  34.773091
08:25:18 260.768867  34.633392
08:25:19 260.451188  34.493311
08:25:20 260.136249  34.352871
08:25:21 259.824033  34.212094
08:25:22 259.514524  34.071001
08:25:23 259.207704  33.929614
08:25:24 258.903557  33.787955
08:25:25 258.602065  33.646043
08:25:26 258.303210  33.503899
08:25:27 258.006973  33.361543
08:25:28 257.713338  33.218995
08:25:29 257.422284  33.076272
08:25:30 257.133793  32.933395
08:25:31 256.847846  32.790380
08:25:32 256.564423  32.647246
08:25:33 256.283506  32.504010
08:25:34 256.005075  32.360689
08:25:35 255.729111  32.217300
08:25:36 255.455592  32.073858
08:25:37 255.184500  31.930381
08:25:38 254.915815  31.786883
08:25:39 254.649517  31.643378
08:25:40 254.385584  31.499883
08:25:41 254.123999  31.356411
08:25:42 253.864739  31.212977
08:25:43 253.607785  31.069593
08:25:44 253.353118  30.926274
08:25:45 253.100715  30.783032
08:25:46 252.850558  30.639879
08:25:47 252.602626  30.496829
08:25:48 252.356898  30.353892
08:25:49 252.113356  30.211081
08:25:50 251.871978  30.068406
08:25:51 251.632744  29.925880
08:25:52 251.395635  29.783512
08:25:53 251.160630  29.641312
08:25:54 250.927709  29.499291
08:25:55 250.696854  29.357459
08:25:56 250.468043  29.215825
08:25:57 250.241257  29.074397
08:25:58 250.016477  28.933186
08:25:59 249.793683  28.792200
08:26:00 249.572856  28.651446
08:26:01 249.353976  28.510933
08:26:02 249.137025  28.370669
08:26:03 248.921982  28.230662
08:26:04 248.708830  28.090918
08:26:05 248.497550  27.951445
08:26:06 248.288122  27.812249
08:26:07 248.080528  27.673338
08:26:08 247.874749  27.534717
08:26:09 247.670768  27.396392
08:26:10 247.468566  27.258370
08:26:11 247.268125  27.120657
08:26:12 247.069428  26.983257
08:26:13 246.872455  26.846176
08:26:14 246.677190  26.709419
08:26:15 246.483616  26.572991
08:26:16 246.291714  26.436896
08:26:17 246.101468  26.301140
08:26:18 245.912860  26.165725
08:26:19 245.725874  26.030658
08:26:20 245.540493  25.895940
08:26:21 245.356700  25.761577
08:26:22 245.174479  25.627572
08:26:23 244.993813  25.493928
08:26:24 244.814686  25.360648
08:26:25 244.637083  25.227736
08:26:26 244.460988  25.095195
08:26:27 244.286384  24.963027
08:26:28 244.113256  24.831235
08:26:29 243.941589  24.699822
08:26:30 243.771367  24.568789
08:26:31 243.602576  24.438140
08:26:32 243.435200  24.307877
08:26:33 243.269225  24.178000
08:26:34 243.104635  24.048513
08:26:35 242.941417  23.919418
08:26:36 242.779557  23.790714
08:26:37 242.619039  23.662405
08:26:38 242.459850  23.534492
08:26:39 242.301976  23.406975
08:26:40 242.145403  23.279857
08:26:41 241.990118  23.153138
08:26:42 241.836107  23.026819
08:26:43 241.683356  22.900901
08:26:44 241.531853  22.775385
08:26:45 241.381585  22.650272
08:26:46 241.232538  22.525562
08:26:47 241.084701  22.401255
08:26:48 240.938059  22.277353
08:26:49 240.792601  22.153856
08:26:50 240.648315  22.030763
08:26:51 240.505188  21.908076
08:26:52 240.363208  21.785794
08:26:53 240.222364  21.663917
08:26:54 240.082643  21.542446
08:26:55 239.944033  21.421380
08:26:56 239.806524  21.300719
08:26:57 239.670104  21.180463
08:26:58 239.534761  21.060611
08:26:59 239.400485  20.941164
08:27:00 239.267264  20.822121
08:27:01 239.135087  20.703482
08:27:02 239.003944  20.585245
08:27:03 238.873824  20.467412
08:27:04 238.744717  20.349980
08:27:05 238.616612  20.232949
08:27:06 238.489499  20.116319
08:27:07 238.363367  20.000089
08:27:08 238.238207  19.884257
08:27:09 238.114009  19.768825
08:27:10 237.990762  19.653789
08:27:11 237.868458  19.539150
08:27:12 237.747086  19.424907
08:27:13 237.626637  19.311058
08:27:14 237.507102  19.197603
08:27:15 237.388471  19.084540
08:27:16 237.270735  18.971869
08:27:17 237.153886  18.859588
08:27:18 237.037914  18.747696
08:27:19 236.922810  18.636193
08:27:20 236.808566  18.525076
08:27:21 236.695173  18.414345
08:27:22 236.582622  18.303998
08:27:23 236.470905  18.194034
08:27:24 236.360014  18.084452
08:27:25 236.249941  17.975250
08:27:26 236.140676  17.866427
08:27:27 236.032213  17.757983
08:27:28 235.924543  17.649914
08:27:29 235.817659  17.542220
08:27:30 235.711552  17.434900
08:27:31 235.606215  17.327952
08:27:32 235.501640  17.221375
08:27:33 235.397820  17.115167
08:27:34 235.294748  17.009326
08:27:35 235.192415  16.903851
08:27:36 235.090815  16.798741
08:27:37 234.989941  16.693995
08:27:38 234.889786  16.589609
08:27:39 234.790342  16.485584
08:27:40 234.691602  16.381917
08:27:41 234.593560  16.278607
08:27:42 234.496210  16.175652
08:27:43 234.399543  16.073051
08:27:44 234.303555  15.970802
08:27:45 234.208237  15.868903
08:27:46 234.113584  15.767353
08:27:47 234.019590  15.666151
08:27:48 233.926248  15.565293
08:27:49 233.833551  15.464780
08:27:50 233.741494  15.364610
08:27:51 233.650071  15.264779
08:27:52 233.559275  15.165288
08:27:53 233.469100  15.066135
08:27:54 233.379541  14.967317
08:27:55 233.290593  14.868833
08:27:56 233.202248  14.770681
08:27:57 233.114501  14.672860
08:27:58 233.027348  14.575368
08:27:59 232.940782  14.478204
08:28:00 232.854797  14.381365
08:28:01 232.769389  14.284850
08:28:02 232.684551  14.188658
08:28:03 232.600279  14.092787
08:28:04 232.516568  13.997234
08:28:05 232.433412  13.901999
08:28:06 232.350806  13.807080
08:28:07 232.268744  13.712474
08:28:08 232.187223  13.618181
08:28:09 232.106237  13.524199
08:28:10 232.025781  13.430526
08:28:11 231.945850  13.337160
08:28:12 231.866440  13.244101
08:28:13 231.787545  13.151345
08:28:14 231.709161  13.058891
08:28:15 231.631284  12.966739
08:28:16 231.553908  12.874886
08:28:17 231.477030  12.783330
08:28:18 231.400644  12.692070
08:28:19 231.324747  12.601105
08:28:20 231.249334  12.510432
08:28:21 231.174400  12.420050
08:28:22 231.099942  12.329957
08:28:23 231.025955  12.240153
08:28:24 230.952435  12.150634
08:28:25 230.879377  12.061400
08:28:26 230.806778  11.972449
08:28:27 230.734634  11.883780
08:28:28 230.662941  11.795390
08:28:29 230.591693  11.707279
08:28:30 230.520889  11.619444
08:28:31 230.450523  11.531885
08:28:32 230.380593  11.444598
08:28:33 230.311093  11.357584
08:28:34 230.242021  11.270841
08:28:35 230.173373  11.184366
08:28:36 230.105145  11.098158
08:28:37 230.037333  11.012217
08:28:38 229.969933  10.926539
08:28:39 229.902943  10.841124
08:28:40 229.836359  10.755971
08:28:41 229.770177  10.671077
08:28:42 229.704393  10.586442
08:28:43 229.639005  10.502063
08:28:44 229.574009  10.417940
08:28:45 229.509402  10.334070
08:28:46 229.445180  10.250453
08:28:47 229.381340  10.167086
08:28:48 229.317879  10.083969
08:28:49 229.254793  10.001099
